day,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.35,-0.35,-0.35,-0.35,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.3,-0.3,-0.3,-3.0,-3.0,-3.0
2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.35,-0.35,-0.35,-0.35,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.3,-0.3,-0.3,-0.3,-3.0,-3.0,-3.0
3,-2.7542203191118695,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.315,-0.315,-0.45941223827689026,-0.526291877561786,-0.5163640650529613,-0.95,-0.5,-0.5868787277671081,-0.4706350486988178,-0.5,-0.27,-0.3,-0.77,-0.3,-2.7,-3.0,-3.0
4,-2.4787982872006826,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.28350000000000003,-0.315,-0.41347101444920126,-0.6472444334234192,-0.4647276585476652,-1.355,-0.5,-0.8432991922843325,-0.423571543828936,-0.5,-0.3118002020847479,-0.3,-0.6930000000000001,-0.3,-2.43,-3.0,-3.0
5,-2.4717337749562236,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-0.4872592357055793,-0.28350000000000003,-0.5627380479311547,-0.5825199900810772,-0.41825489269289867,-1.2195,-0.45,-0.7589692730558992,-0.8812143894460425,-0.95,-0.3020007098149541,-0.6913670418270619,-0.6237,-0.77,-2.2741971379578234,-3.2,-3.2
6,-2.414529421275854,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-0.9385333121350213,-0.26610302413010833,-0.6114293681018823,-1.0242679910729695,-0.4202555286379849,-1.59755,-0.5596844080022548,-0.6830723457503093,-1.0430929505014381,-1.2269705676274065,-0.556677894797937,-0.6222303376443558,-1.0613299999999999,-0.77,-2.046777424162041,-3.2,-3.2
7,-2.357063810533932,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-0.8446799809215192,-0.3298038998012936,-1.0502864312916942,-1.1718411919656726,-0.3782299757741864,-1.8055997894999591,-0.5596844080022548,-0.6147651111752783,-1.0430929505014381,-1.2269705676274065,-1.0010101053181433,-0.6222303376443558,-1.205197,-0.77,-1.842099681745837,-3.2,-3.2
8,-2.121357429480539,-3.2,-3.2,-3.2,-3.215407451332873,-3.186496910119355,-2.9219259314035897,-0.9442919871466385,-0.3674665386524924,-0.9862997235904031,-1.0546570727691054,-0.5688904061024744,-1.6864274284417646,-0.6206370694190595,-0.5532886000577505,-1.4387836554512945,-1.604273510864666,-0.900909094786329,-1.06000730387992,-1.093127889212233,-0.6930000000000001,-1.6609220922488452,-3.2140869490004405,-2.881896354808334
9,-1.909221686532485,-2.8800000000000003,-2.8800000000000003,-3.0666380169280347,-3.215407451332873,-3.186496910119355,-2.9219259314035897,-0.8498627884319747,-0.4209102812819799,-0.8876697512313628,-1.209031072315594,-0.8513670043084143,-1.5756112541867482,-0.6206370694190595,-0.6217106779980692,-1.4387836554512945,-1.604273510864666,-1.1856702424674603,-1.06000730387992,-0.9838151002910096,-0.6930000000000001,-1.4948298830239608,-3.2140869490004405,-2.881896354808334
10,-1.8258291019713504,-2.8800000000000003,-2.8800000000000003,-3.0666380169280347,-3.215407451332873,-3.186496910119355,-2.9219259314035897,-1.201317489453209,-0.40860951860920036,-0.7989027761082266,-1.3381279650840345,-0.7662303038775728,-1.5426511919307575,-0.8085733624771536,-0.7654331647572258,-1.294905289906165,-1.4438461597781993,-1.0671032182207143,-0.9540065734919281,-0.8854335902619087,-0.6237,-1.3453468947215648,-2.8926782541003964,-2.5937067193275007
11,-1.6432461917742154,-2.5920000000000005,-2.5920000000000005,-2.759974215235231,-2.893866706199586,-2.8678472191074196,-2.6297333382632306,-1.3590754238431273,-0.5114521714021816,-0.7190124984974039,-1.704315168575631,-0.6896072734898155,-1.8883860727376818,-0.8085733624771536,-1.0968525529503241,-1.294905289906165,-1.4438461597781993,-0.9603928963986429,-0.9540065734919281,-0.7968902312357179,-0.6237,-1.2108122052494084,-2.8926782541003964,-2.5937067193275007
12,-1.5101777258638598,-2.5920000000000005,-2.5920000000000005,-2.759974215235231,-2.893866706199586,-2.8678472191074196,-2.6297333382632306,-1.2521834417900628,-0.46030695426196344,-1.1471112486476636,-1.533883651718068,-0.620646546140834,-2.1995474654639136,-0.8085733624771536,-1.4871672976552919,-1.6654147609155485,-1.7994615438003794,-0.8643536067587786,-0.9540065734919281,-0.7172012081121462,-0.6237,-1.0897309847244676,-2.8926782541003964,-2.5937067193275007
13,-1.6075622116164756,-2.5920000000000005,-2.5920000000000005,-2.759974215235231,-2.893866706199586,-2.8678472191074196,-2.6297333382632306,-1.2078069989054947,-0.4418440965990973,-1.3452332855349458,-1.3804952865462612,-0.5585818915267506,-1.9795927189175222,-0.8085733624771536,-1.3384505678897627,-1.9988732848239936,-2.1195153894203416,-1.0160540068931172,-0.9540065734919281,-1.0523555270764087,-0.6237,-0.9807578862520209,-2.8926782541003964,-2.5937067193275007
14,-1.9041070035344612,-2.5920000000000005,-2.5920000000000005,-2.759974215235231,-2.893866706199586,-2.8678472191074196,-2.6297333382632306,-1.4330666603339832,-0.3976596869391876,-1.7107099569814512,-1.2695231223889383,-1.0027237023740756,-2.0536410210850597,-0.8085733624771536,-1.2046055111007865,-2.0489859563415944,-2.4075638504783075,-0.9341583921666181,-0.9540065734919281,-1.3380202813437654,-0.6237,-1.018522068833255,-2.8926782541003964,-2.5937067193275007
15,-1.8008699715628451,-2.5920000000000005,-2.5920000000000005,-2.759974215235231,-2.893866706199586,-3.081062497196678,-2.5722183527744082,-1.5918297944595385,-0.35789371824526883,-2.0396389612833064,-1.6425708101500445,-1.402451332136668,-2.3482769189765538,-1.1845816617410998,-1.2707703485998751,-2.1248466817862908,-2.579300914415385,-0.9392133574312482,-1.1150984978194312,-1.2042182532093888,-0.7607247529592349,-1.1218659030309188,-2.692777951102929,-2.46439269225538
16,-1.8023570177425219,-2.469859694917578,-2.469859694917578,-2.6210364886292856,-2.7629466197870873,-3.27295624747701,-2.5691484428130904,-1.538138789883015,-0.4810626189475548,-1.9906631070633258,-1.792572981712199,-1.4211644714498142,-2.16938755382145,-1.1845816617410998,-1.1454323875427024,-2.4123620136076616,-2.579300914415385,-0.8980509334889191,-1.1150984978194312,-1.33379642788845,-0.7607247529592349,-1.0577478919604233,-2.692777951102929,-2.46439269225538
17,-1.6221213159682697,-2.469859694917578,-2.469859694917578,-2.6210364886292856,-2.7629466197870873,-3.27295624747701,-2.5691484428130904,-1.426140623046974,-0.43295635705279933,-2.018966410648309,-1.613315683540979,-1.2790480243048328,-2.132806483221992,-1.1845816617410998,-1.0308891487884322,-2.4123620136076616,-2.579300914415385,-0.8082458401400272,-1.1150984978194312,-1.450416785099605,-0.7607247529592349,-0.9825883088810435,-2.692777951102929,-2.46439269225538
18,-1.5463134269845178,-2.469859694917578,-2.469859694917578,-2.6210364886292856,-2.7629466197870873,-3.27295624747701,-2.5691484428130904,-1.2835265607422766,-0.5023861928089761,-1.817069769583478,-1.769733383856485,-1.2790480243048328,-1.945839475715844,-1.1845816617410998,-0.927800233909589,-2.4123620136076616,-2.579300914415385,-0.7274212561260245,-1.1150984978194312,-1.5553751065896446,-0.7607247529592349,-0.8843294779929392,-2.692777951102929,-2.46439269225538
19,-1.391682084286066,-2.469859694917578,-2.469859694917578,-2.6210364886292856,-2.7629466197870873,-3.27295624747701,-2.5691484428130904,-1.161518967396924,-0.6101734989662702,-2.1353627926251306,-1.5927600454708366,-1.4917786955766412,-1.7512555281442597,-1.1845816617410998,-0.8350202105186301,-2.4123620136076616,-2.579300914415385,-0.9046791305134221,-1.1150984978194312,-1.3998375959306801,-0.7607247529592349,-0.7958965301936453,-2.692777951102929,-2.46439269225538
20,-1.2559466752943385,-2.469859694917578,-2.469859694917578,-2.6210364886292856,-2.7629466197870873,-3.27295624747701,-2.5691484428130904,-1.264932845382014,-0.5491561490696432,-1.9421738778648414,-1.433484040923753,-1.3426008260189772,-1.9336314538970376,-1.1845816617410998,-0.8306852675222952,-2.1711258122468955,-2.579300914415385,-0.8175079852033871,-1.1150984978194312,-1.2598538363376122,-0.7607247529592349,-0.7163068771742808,-2.692777951102929,-2.46439269225538
21,-1.2703158044203335,-2.469859694917578,-2.469859694917578,-2.6210364886292856,-2.7629466197870873,-3.27295624747701,-2.5691484428130904,-1.568128252770856,-0.4942405341626789,-1.9979564900783573,-1.5401356368313777,-1.2083407434170796,-1.7402683085073338,-1.1845816617410998,-1.2476167407700656,-2.1711258122468955,-2.579300914415385,-0.7357571866830483,-1.1150984978194312,-1.133868452703851,-0.7607247529592349,-0.7803221421964702,-2.692777951102929,-2.46439269225538
